n,sex,age,color_1,color_2,color_3,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15
95,"M",23,134.512254901961,124.529411764706,106.794117647059,1.66051541963128,0.965386725178279,1.6199023419839,0.556714006028776,1.37185132575757,1.18381993149568,1.69613918017159,1.25489967335511,1.7105174081238,1.95105148658447,1.15843426793178,1.16445434574089,1.66563706563707,0.378407336765556,0.472048606330938
96,"M",20,102.387878787879,98.6909090909091,97.7656565656566,1.93847145006803,0.955828368538243,1.64615306690979,0.647036572497959,1.71367184937348,0.67672558922559,0.666854185418544,0.656679306272146,1.40265464687718,1.15791820120179,1.42185148557424,1.2749152671465,0.607759927250686,0.404230992199394,0.402833384662766
97,"M",50,123.05637254902,109.698529411765,93.3823529411765,2.03626264500148,1.1685864492882,1.64046650878055,0.61441649512142,1.58115701594777,0.700639592324892,0.436695278969957,1.24644449161538,1.69451999597059,1.39571880726303,1.00208283741966,1.01491011843925,0.869387216059166,0.38027091808599,0.459012997306864
98,"M",16,81.625,80.5073529411765,85.3112745098039,2.31138457785201,1.11960795486922,1.93663768417764,0.666481517980326,1.54092448912687,0.877522188009418,0.821746530505366,0.870647632311976,1.5549464118141,1.3475565123789,1.41508131328628,1.38817245326212,1.17162698412699,0.393008672162252,0.426504912848699
99,"M",25,140.222527472527,120.783653846154,118.217032967033,2.42913740771535,1.08234138449093,2.32842282096013,0.803464728440203,1.75366808510638,1.02176158158748,1.04997322862751,0.572569147419441,1.79060214141843,1.83813008130081,1.16693928605793,1.17596483911328,1.08531816565943,0.395705443533496,0.474436011465465
100,"M",23,113.977941176471,83.8455882352941,71.1225490196078,1.5302573658382,1.38115551094661,2.08858809287994,0.727917769339931,1.6523018956788,0.485070050474079,0.267418351477448,0.420362109682501,2.47111013345065,1.50047788687114,1.34555957683741,1.27763123186494,0.555904804669964,0.408305365653862,0.46978406978407
101,"F",62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,"M",68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,"F",64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,"F",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,"M",68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,"M",33,125.022058823529,93.156862745098,57.9950980392157,-6.84324705040003,1.51206220026159,1.73880897294035,0.5861180340098,1.39262422955935,1.15684082130514,1.29879250862493,4.41954590325764,1.50592152306042,1.70652894669728,1.19199869897544,1.2626382172928,1.4643883743213,1.97341328583018,0.45192149101105
107,"F",43,141.688888888889,120.609523809524,102.257142857143,1.71938526162732,0.986994306263109,1.79273238522685,0.586353265771741,1.35739066442388,0.97297825555827,0.893631345092225,1.21496787636742,1.80635969336292,1.70569635529809,1.17537732697622,1.19756196162578,1.07981220657278,0.377762048585948,0.458336690750539
108,"F",40,123.492647058824,97.6862745098039,84.5980392156863,-6.46502344443037,1.10860716181936,1.96681890716998,0.674167263948093,1.54730951356005,0.634707337180543,0.0991133244260918,0.479645716232324,2.32064664813937,1.65311178797109,1.22221140427742,1.09461133031883,0.496076721883175,1.83349377419693,0.480009315323708
109,"F",21,144.951515151515,123.068686868687,102.50303030303,1.52849877018197,1.46938276136294,2.19183363197046,0.716960019892368,1.55160217494589,1.01823804114603,1.03154774507728,1.13110967384274,2.00515684283653,2.03062905111041,1.23314982889451,1.15223695695019,0.678992668154288,0.400918943959423,0.483800914564169
110,"F",31,114.385858585859,87.0141414141414,74.3878787878788,1.76539969514432,1.26295664049163,2.17817942819586,0.652677393307994,1.35976604240481,1.23141309699656,1.83116634799234,1.19713315729913,1.36440571976487,1.63235736488519,1.08897683028021,1.06017463933182,0.640677966101691,0.368653746571514,0.439086247939938
111,"F",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,"F",16,96.3836065573771,75.7262295081967,73.4508196721311,-6.76174704804745,1.11140632723678,1.94175474485737,0.642118911605532,1.45345050255489,1.14943094769096,1.27971948874561,1.48207835509864,1.4406313416009,1.54863040889241,1.22387747998608,1.21694963415501,1.14636801990979,1.29962343581029,0.433651558100511
113,"M",15,121.979797979798,99.559595959596,88.1858585858586,1.45012585953875,1.34075920444514,2.19198599494261,0.726352766766573,1.58191545765653,0.706162051018442,0.712412897130038,0.880461811722921,2.04934802771564,1.84797738147021,1.28767623861872,1.24649687141976,0.863488783943327,0.411541607506636,0.483648176695494
114,"M",19,90.9377049180328,67.7491803278689,53.2245901639344,-7.18482783039745,1.18377088305489,1.97125742210078,0.687831172879118,1.59239650802591,0.834661674244452,0.536984941254351,0.955490961940232,1.92024838670401,1.72560720268007,1.1793684792372,1.08949736958864,0.601497362599969,2.96528856277304,0.479917631300106
115,"M",16,88.8196721311475,68.2295081967213,57.1459016393443,1.72498410680229,1.32685707637717,2.13840478990698,0.736910946538447,1.65018551832696,1.05310952118878,1.24870190387432,1.81004937554459,1.5055867216839,1.52910469811879,1.14194314359211,1.16497001812857,0.601569066965539,0.415043886840474,0.447195893699181
116,"F",51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,"M",58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,"F",20,79.1269841269841,65.2380952380952,64.6234567901235,-6.29195480804804,1.00125219133484,1.69537913183689,0.591549087248124,1.44446971075132,1.5727081619596,4.26119894598161,2.22349920528182,1.39590425531915,2.04089640280191,1.16472820259012,1.12232658761672,1.18122151321786,4.75100251419629,0.459354200252191
119,"F",14,106.842723004695,85.5070422535211,76.8955399061033,1.52534048587765,1.38021994352801,1.94115864743668,0.711259630970092,1.70089363939022,1.46307861866275,2.10027548209366,1.99825072886296,1.4762216722473,1.89862497520989,1.23787104130651,1.31532911443427,1.28826593897295,0.420499583802347,0.450455862977602
120,"F",52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,"M",57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,"F",23,104.010101010101,101.208080808081,106.979797979798,-6.109835987185,1.32193798001963,2.40182784779881,0.825528158170284,1.78158042920603,0.981888872483885,1.04966585662212,1.24543378995435,1.97771723544595,1.9242994920961,1.2808996196461,1.28289495954775,0.728959749085213,2.35690932417332,0.471543927335472
123,"M",24,76.0666666666667,69.8603174603175,73.984126984127,1.84463417179835,1.13801288572397,1.9803379609272,0.597879684418146,1.28892390447988,1.06318907355603,1.10737695149565,1.05449609323268,1.51187547312642,1.55021769972115,1.18570451436389,1.17652311285116,0.710170231340025,0.358091208252728,0.439146550085535
124,"F",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,"F",23,94.8521126760563,95.2852112676056,99.4659624413146,1.54816171172913,1.31742489270386,1.8632160110421,0.631482925307968,1.4679089515273,0.582762387051931,0.301130524152105,0.491335740072203,2.53521216768916,1.70643832296631,1.40736695187814,1.35155293331849,0.61446840521565,0.399792843207214,0.476533823829962
126,"M",22,89.1656565656566,65.9252525252525,49.2646464646465,1.92030488537721,1.21795912843416,1.96516577732478,0.57017360748704,1.21194893033058,1.09004078682431,1.25213878326997,0.917604912998978,1.58779717865246,1.82599177745742,1.11449027850762,1.04197516121328,1.1325780771586,0.340740363864545,0.466947520233792
127,"M",24,89.0083916083916,63.0293706293706,51.1286713286713,1.8794537815126,0.842654694937257,1.6257217847769,0.537436107780652,1.29667947116631,0.904769224856847,0.864536173990234,0.816805156480547,1.76487684024966,1.81802218114602,1.37105549510337,1.30785475450226,1.20294236195082,0.343573988735279,0.454223872821685
128,"F",25,110.752450980392,88.8897058823529,78.7156862745098,-6.67337109595043,1.45485175202156,2.17869744632498,0.781424281424281,1.77768487240376,0.789667896678967,0.607247796278155,0.834878153581731,1.85735840922563,1.6508783224501,1.21652733118971,1.11624616835651,0.464538608519724,0.839251119567502,0.46073009849101
129,"M",32,68.7352941176471,43.6740196078431,31.2009803921569,1.62749294752048,1.10653670506441,1.76711075533192,0.630546997735295,1.53514782388022,0.879248966467616,0.826969826969836,0.880332026746606,1.53531335149864,1.54638044500156,1.12787009063444,1.07622720897615,0.991234304667136,0.375084884506394,0.449000797682522
